model,val_mae,mae,rmse,mape,mae_kw,beats_paper
ensemble,0.09463585451087468,0.09830733247269445,0.17565777701361096,80.82871129669785,147.46099870904166,True
xgb,0.09499779798313294,0.09937831179028801,0.1756681707591433,90.38537333544849,149.06746768543204,True
lgbm,0.09763343334543052,0.10032182670449276,0.18652430477664386,70.18034824925456,150.48274005673915,True
ridge,0.09909838313231861,0.1039268685765642,0.19872327127151634,51.01282726528093,155.8903028648463,True
cat,0.0970884822372753,0.10596754207942931,0.18276495615398552,89.488835447819,158.95131311914398,True
lstm,0.13900020862853713,0.1267922713595126,0.2385413784202821,107.6634967079952,190.18840703926892,True
persistence,0.3462162304057718,0.3598725763887312,0.5430087663875321,466.83035732659175,539.8088645830968,False
