number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.09939689816258752,0.7308556223244559,0.007643536115870417,9,0.025128866121352105,1174,1.0890838039103257,0.13487701053779005,0.6962358479861395,COMPLETE
1,0.09873562305735988,0.7017684503439517,0.005564829872263615,10,0.15305589289864732,598,0.00018505490933875404,1.1812884777343506,0.9208188474514666,COMPLETE
2,0.10051683982645264,0.9395756590979446,0.022273445105835076,6,0.01698197119886416,1919,3.6718533272425353,0.0064695572612650815,0.9372898776918819,COMPLETE
3,0.09972151750665048,0.719201400275505,0.025888187180214735,9,0.01768072824706169,1178,0.0017082935195070555,0.00010570696339531653,0.9588394319926137,COMPLETE
4,0.1010430811428472,0.9640612303120626,0.0289004041410038,9,8.602256780220513,525,0.02938736473400427,0.00030816401602400774,0.963465103132435,COMPLETE
5,0.10064375644913014,0.8515143183528644,0.1681890093363951,7,3.9359662139385745,572,0.0019717072162003073,1.6360196739829733,0.8688709117904705,COMPLETE
6,0.09855481977161439,0.824265267777494,0.022225496142012736,12,1.6113179477027022,918,0.008560067855529416,0.2606722303044095,0.778024564995873,COMPLETE
7,0.1010266546534731,0.6824327403653208,0.059235595810649654,10,0.674030600717295,722,0.0008626880946141988,0.5484702265214991,0.8160137856726624,COMPLETE
8,0.10300848085326701,0.7241078107378359,0.05621624154752177,5,0.02712908431208939,641,0.0013922588192962744,0.058007380748510945,0.7615826667921878,COMPLETE
9,0.09884315080915568,0.9774569712737164,0.07887572863528408,10,1.2183795498050354,557,0.02318343781994743,1.6886488597718687,0.6410971114292846,COMPLETE
10,0.09977320331592897,0.6096314316577188,0.013528728164475824,12,0.17830685801940693,1660,0.17619833648803124,0.005510281513533342,0.7416717179992974,COMPLETE
11,0.09757714213048341,0.8206081994503807,0.007683140919042337,12,0.19710502907322053,946,0.0001361244571730097,0.26961737606461855,0.8511993291055163,COMPLETE
12,0.09850908425690263,0.8515066293012058,0.011805680602767196,12,1.3236466718185316,922,0.00010849289224727074,0.20857971119059732,0.8381143502589431,COMPLETE
13,0.10226980008108275,0.8860099226732769,0.010272967941757059,3,0.07584737960608748,211,0.00013696411673518274,0.021971213298430013,0.8304593981044364,COMPLETE
14,0.09920362842435748,0.7837245934508009,0.01250477161760697,12,0.3896763297541267,1377,0.0003858537763274344,4.377048296637298,0.8627095574684919,COMPLETE
15,0.09867969656161073,0.9029245514562542,0.005222794279773584,11,1.9191879167079091,937,0.0049801546849208575,0.038587756213426055,0.8886965977504393,COMPLETE
16,0.09680929231782827,0.7831627781155419,0.015690517227615608,11,0.07009610642696265,1450,0.00012839619380319758,0.006470883578817936,0.9992248780368088,COMPLETE
17,0.09892180612227615,0.7815773565739851,0.01569715101951551,8,0.0561505296432207,1515,0.0004811541515317694,0.0018834982324118152,0.9101520209974766,COMPLETE
18,0.09801265866596037,0.7825034619845529,0.007955396054530666,11,0.06889220649440171,1851,0.05456381011392292,0.0019145545837043313,0.9971772014141796,COMPLETE
19,0.10078116664166258,0.6368528455048004,0.017978770479911952,11,0.1824233286030358,1347,0.0049305476658643155,0.01314005188410822,0.6131110026744526,COMPLETE
